EC / List No.,CAS No.,Name,Registration Type,Submission Type,Total Tonnage Band,Dossier ID,Link
200-001-8,50-00-0,formaldehyde,Full,Joint Submission,"1,000,000 + tonnes per annum",DISS-9daa7594-c409-0ed0-e044-00144f67d249,Dossier
200-001-8,50-00-0,formaldehyde,Intermediate,Individual Submission,Intermediate Use Only,DISS-9d8ad2a1-0d51-13f7-e044-00144f67d249,Dossier
200-002-3,50-01-1,guanidinium chloride,Full,Joint Submission,"100 - 1,000 tonnes per annum",DISS-dffb4072-e2d4-47ae-e044-00144f67d031,Dossier
200-004-4,50-03-3,hydrocortisone 21-acetate,Intermediate,Joint Submission,Intermediate Use Only,DISS-9d8206a3-7e67-71dd-e044-00144f67d249,Dossier
200-018-0,50-21-5,lactic acid,Full,Joint Submission,"100 - 1,000 tonnes per annum",DISS-9d9206e2-b2f0-4755-e044-00144f67d249,Dossier
200-020-1,50-23-7,hydrocortisone,Intermediate,Joint Submission,Intermediate Use Only,DISS-9d82345f-f55b-2136-e044-00144f67d249,Dossier
200-021-7,50-24-8,prednisolone,Full,Joint Submission,1 - 10 tonnes per annum,DISS-9d835bc2-c806-0fa9-e044-00144f67d249,Dossier
200-023-8,50-28-2,estradiol,Intermediate,Joint Submission,Intermediate Use Only,DISS-9d8ac687-b6d9-0a07-e044-00144f67d249,Dossier
200-041-6,50-48-6,amitriptyline,Intermediate,Individual Submission,Intermediate Use Only,DISS-e7627168-f872-63fd-e044-00144f67d031,Dossier
200-064-1,50-78-2,O-acetylsalicylic acid,Full,Joint Submission,"100 - 1,000 tonnes per annum",DISS-dcecced4-9f30-3ecc-e044-00144f67d031,Dossier
200-064-1,50-78-2,O-acetylsalicylic acid,Intermediate,Individual Submission,Intermediate Use Only,DISS-e7627168-f7a6-63fd-e044-00144f67d031,Dossier
200-070-4, ,thymidine,Full,Joint Submission,"1,000 - 10,000 tonnes per annum",DISS-db9b544e-ab33-4bfb-e044-00144f67d031,Dossier
200-076-7,51-03-6,2-(2-butoxyethoxy)ethyl 6-propylpiperonyl ether,Full,Joint Submission,Tonnage Data Confidential,DISS-9d962cd2-1640-46d8-e044-00144f67d249,Dossier
200-076-7,51-03-6,2-(2-butoxyethoxy)ethyl 6-propylpiperonyl ether,Full,Individual Submission,1 - 10 tonnes per annum,DISS-c4c3d2f6-15fb-3ab2-e044-00144f67d031,Dossier
200-085-6,51-21-8,fluorouracil,Intermediate,Joint Submission,Intermediate Use Only,DISS-d016f922-a494-3a3a-e044-00144f67d249,Dossier
200-087-7,51-28-5,"2,4-dinitrophenol",Full,Joint Submission,"100 - 1,000 tonnes per annum",DISS-d38d1f60-b366-7199-e044-00144f67d249,Dossier
200-090-3,51-34-3,hyoscine,Intermediate,Individual Submission,Intermediate Use Only,DISS-d975c622-33a8-1b0e-e044-00144f67d031,Dossier
200-143-0,52-51-7,bronopol,Full,Joint Submission,"100 - 1,000 tonnes per annum",DISS-e18edfe9-0292-58ce-e044-00144f67d031,Dossier
200-157-7,52-89-1,cysteine hydrochloride,Full,Joint Submission,"100 - 1,000 tonnes per annum",DISS-dffb4072-e49a-47ae-e044-00144f67d031,Dossier
200-164-5,53-16-7,estrone,Full,Joint Submission,10 - 100 tonnes per annum,DISS-9d95b9b9-97e6-541a-e044-00144f67d249,Dossier
200-164-5,53-16-7,estrone,Full,Individual Submission,1 - 10 tonnes per annum,DISS-9fe56557-d51d-7034-e044-00144f67d031,Dossier
200-175-5,53-43-0,prasterone,Intermediate,Joint Submission,Intermediate Use Only,DISS-d38cf3f4-1062-4cc2-e044-00144f67d249,Dossier
200-184-4,53-84-9,nadide,Full,Joint Submission,1 - 10 tonnes per annum,DISS-d6b18ecf-6796-4f0a-e044-00144f67d031,Dossier
200-186-5,53-86-1,indometacin,Intermediate,Joint Submission,Intermediate Use Only,DISS-9d89dc88-6184-4792-e044-00144f67d249,Dossier
200-198-0,54-21-7,sodium salicylate,Full,Joint Submission,"100 - 1,000 tonnes per annum",DISS-c4c482c8-1365-16a2-e044-00144f67d031,Dossier
200-238-7,55-56-1,chlorhexidine,Intermediate,Joint Submission,Intermediate Use Only,DISS-d6b1a730-9bbd-5986-e044-00144f67d031,Dossier
200-240-8,55-63-0,glycerol trinitrate,Full,Joint Submission,"1,000 - 10,000 tonnes per annum",DISS-9d82da35-5a60-2533-e044-00144f67d249,Dossier
200-261-2,56-18-8,"3,3'-iminodi(propylamine)",Full,Joint Submission,"100 - 1,000 tonnes per annum",DISS-dffb4072-e416-47ae-e044-00144f67d031,Dossier
200-262-8,56-23-5,carbon tetrachloride,Full,Joint Submission,"10,000 - 100,000 tonnes per annum",DISS-9d8c7535-6286-5b49-e044-00144f67d249,Dossier
200-268-0,56-35-9,bis(tributyltin) oxide,Intermediate,Joint Submission,Intermediate Use Only,DISS-9d83c0b5-75fa-5b0a-e044-00144f67d249,Dossier
200-272-2,56-40-6,glycine,Intermediate,Individual Submission,Intermediate Use Only,DISS-9d843495-afb9-39c4-e044-00144f67d249,Dossier
200-272-2,56-40-6,glycine,Intermediate,Joint Submission,Intermediate Use Only,DISS-abd5e2a9-6007-3dba-e044-00144f67d249,Dossier
200-273-8,56-41-7,L-alanine,Full,Joint Submission,"1,000 - 10,000 tonnes per annum",DISS-d6b1b40c-fea8-5fdf-e044-00144f67d031,Dossier
200-274-3,56-45-1,L-serine,Full,Joint Submission,"100 - 1,000 tonnes per annum",DISS-d6b1b593-cf79-604b-e044-00144f67d031,Dossier
200-289-5,56-81-5,glycerol,Full,Joint Submission,"1,000 - 10,000 tonnes per annum",DISS-9d855cc7-316c-2a21-e044-00144f67d249,Dossier
200-291-6,56-84-8,aspartic acid,Full,Joint Submission,"1,000 - 10,000 tonnes per annum",DISS-dbbdba5c-4e7e-1dd2-e044-00144f67d031,Dossier
200-291-6,56-84-8,aspartic acid,Intermediate,Individual Submission,Intermediate Use Only,DISS-9d92c43b-8195-0158-e044-00144f67d249,Dossier
200-293-7,56-86-0,glutamic acid,Full,Joint Submission,"1,000 - 10,000 tonnes per annum",DISS-9d96f1a3-5092-0955-e044-00144f67d249,Dossier
200-296-3,56-89-3,cystine,Full,Joint Submission,"1,000 - 10,000 tonnes per annum",DISS-d9779e33-52ba-0d39-e044-00144f67d031,Dossier
200-300-3,56-93-9,benzyltrimethylammonium chloride,Full,Joint Submission,"100 - 1,000 tonnes per annum",DISS-dbbe2057-f6eb-4f06-e044-00144f67d031,Dossier
200-306-6,57-00-1,N-amidinosarcosine,Full,Joint Submission,"100 - 1,000 tonnes per annum",DISS-d018f460-24c5-3f1b-e044-00144f67d249,Dossier
200-311-3,57-09-0,cetrimonium bromide,Full,Joint Submission,10 - 100 tonnes per annum,DISS-e2bc7221-8947-3f99-e044-00144f67d031,Dossier
200-312-9,57-10-3,palmitic acid,Full,Joint Submission,"10,000 - 100,000 tonnes per annum",DISS-9d986157-7056-5eb0-e044-00144f67d249,Dossier
200-313-4,57-11-4,stearic acid,Full,Joint Submission,"10,000 - 100,000 tonnes per annum",DISS-9d897b7c-2808-010c-e044-00144f67d249,Dossier
200-315-5,57-13-6,urea,Full,Joint Submission,"10,000,000 - 100,000,000 tonnes per annum",DISS-9d86bbd9-11ab-41e7-e044-00144f67d249,Dossier
200-316-0,57-14-7,"N,N-dimethylhydrazine",Full,Joint Submission,1 - 10 tonnes per annum,DISS-9ebaa1f4-acea-142f-e044-00144f67d031,Dossier
200-338-0,57-55-6,"propane-1,2-diol",Full,Joint Submission,"100,000 - 1,000,000 tonnes per annum",DISS-9d9b1d87-f99a-6f9b-e044-00144f67d249,Dossier
200-340-1,57-57-8,propiolactone,Full,Individual Submission,1 - 10 tonnes per annum,DISS-9d948ddb-e2f0-2d79-e044-00144f67d249,Dossier
200-340-1,57-57-8,propiolactone,Full,Individual Submission,1 - 10 tonnes per annum,DISS-a20f60b3-f971-59e0-e044-00144f67d031,Dossier
200-350-6,57-83-0,progesterone,Intermediate,Joint Submission,Intermediate Use Only,DISS-9d847af3-eead-6d3b-e044-00144f67d249,Dossier
200-353-2,57-88-5,cholesterol,Full,Joint Submission,"100 - 1,000 tonnes per annum",DISS-dff58f8f-e941-55b9-e044-00144f67d031,Dossier
200-362-1,58-08-2,caffeine,Full,Joint Submission,"100 - 1,000 tonnes per annum",DISS-828df81e-0df7-18b6-e044-00144fd73934,Dossier
200-370-5,58-22-0,testosterone,Full,Individual Submission,1 - 10 tonnes per annum,DISS-d0196249-0f22-1add-e044-00144f67d249,Dossier
200-370-5,58-22-0,testosterone,Intermediate,Joint Submission,Intermediate Use Only,DISS-9d8ad53d-ed26-1630-e044-00144f67d249,Dossier
200-385-7,58-55-9,theophylline,Full,Joint Submission,10 - 100 tonnes per annum,DISS-9d876c6e-7b63-5403-e044-00144f67d249,Dossier
200-396-7,58-73-1,diphenhydramine,Intermediate,Joint Submission,Intermediate Use Only,DISS-d38ce992-bac0-472d-e044-00144f67d249,Dossier
200-400-7,58-86-6,xylose,Full,Joint Submission,"1,000 - 10,000 tonnes per annum",DISS-9d84defa-10e7-437b-e044-00144f67d249,Dossier
200-400-7,58-86-6,xylose,Intermediate,Individual Submission,Intermediate Use Only,DISS-9d84de98-3b6f-4351-e044-00144f67d249,Dossier
200-424-8,59-42-7,phenylephrine,Intermediate,Individual Submission,Intermediate Use Only,DISS-d6b2299b-03d2-20ff-e044-00144f67d031,Dossier
200-424-8,59-42-7,phenylephrine,Intermediate,Individual Submission,Intermediate Use Only,DISS-e7627168-f709-63fd-e044-00144f67d031,Dossier
200-431-6,59-50-7,chlorocresol,Full,Joint Submission,1 - 10 tonnes per annum,DISS-d018c651-9f26-2026-e044-00144f67d249,Dossier
200-441-0,59-67-6,nicotinic acid,Full,Joint Submission,"1,000 - 10,000 tonnes per annum",DISS-dcecf5d2-d123-504f-e044-00144f67d031,Dossier
200-449-4,60-00-4,edetic acid,Full,Joint Submission,"1,000 - 10,000 tonnes per annum",DISS-97dbb36b-db93-7210-e044-00144f67d031,Dossier
200-449-4,60-00-4,edetic acid,Intermediate,Individual Submission,Intermediate Use Only,DISS-d6b224f3-7330-1f63-e044-00144f67d031,Dossier
200-453-6,60-09-3,4-aminoazobenzene,Intermediate,Individual Submission,Intermediate Use Only,DISS-a13482a2-fbdc-701e-e044-00144f67d031,Dossier
200-456-2,60-12-8,2-phenylethanol,Full,Individual Submission,1 - 10 tonnes per annum,DISS-d0194f9d-bb36-0da0-e044-00144f67d249,Dossier
200-456-2,60-12-8,2-phenylethanol,Full,Joint Submission,"1,000 - 10,000 tonnes per annum",DISS-db99b69c-69d9-0244-e044-00144f67d031,Dossier
200-464-6,60-24-2,2-mercaptoethanol,Full,Joint Submission,"1,000 + tonnes per annum",DISS-9875d669-ba96-6056-e044-00144f67d031,Dossier
200-467-2,60-29-7,diethyl ether,Full,Joint Submission,"1,000 - 10,000 tonnes per annum",DISS-9d9869ef-9931-6441-e044-00144f67d249,Dossier
200-471-4,60-34-4,methylhydrazine,Full,Joint Submission,"100 - 1,000 tonnes per annum",DISS-9d85d808-3e5b-0d44-e044-00144f67d249,Dossier
200-471-4,60-34-4,methylhydrazine,Intermediate,Individual Submission,Intermediate Use Only,DISS-9d8362dc-01df-16c2-e044-00144f67d249,Dossier
200-471-4,60-34-4,methylhydrazine,Intermediate,Individual Submission,Intermediate Use Only,DISS-9d836836-740e-1961-e044-00144f67d249,Dossier
200-471-4,60-34-4,methylhydrazine,Intermediate,Individual Submission,Intermediate Use Only,DISS-a64f55e7-2814-0962-e044-00144f67d249,Dossier
200-486-6,60-80-0,phenazone,Intermediate,Joint Submission,Intermediate Use Only,DISS-9d802eac-0572-4186-e044-00144f67d249,Dossier
200-522-0,61-90-5,L-leucine,Full,Joint Submission,10 - 100 tonnes per annum,DISS-d6b1b206-005e-5ce5-e044-00144f67d031,Dossier
200-526-2,62-23-7,4-nitrobenzoic acid,Intermediate,Joint Submission,Intermediate Use Only,DISS-d6b19a30-36eb-52a2-e044-00144f67d031,Dossier
200-526-2,62-23-7,4-nitrobenzoic acid,Intermediate,Individual Submission,Intermediate Use Only,DISS-d6b22a91-dad1-213f-e044-00144f67d031,Dossier
200-529-9,62-33-9,sodium calcium edetate,Full,Joint Submission,"100 - 1,000 tonnes per annum",DISS-db9a65a6-4aa4-5107-e044-00144f67d031,Dossier
200-539-3,62-53-3,aniline,Full,Joint Submission,"1,000,000 - 10,000,000 tonnes per annum",DISS-9d9eb88d-f599-5b22-e044-00144f67d249,Dossier
200-540-9,62-54-4,calcium di(acetate),Full,Joint Submission,"100 - 1,000 tonnes per annum",DISS-e2bc7221-893b-3f99-e044-00144f67d031,Dossier
200-541-4,62-55-5,thioacetamide,Intermediate,Individual Submission,Intermediate Use Only,DISS-9d800ec0-24b3-24fb-e044-00144f67d249,Dossier
200-543-5,62-56-6,thiourea,Full,Joint Submission,"100 - 1,000 tonnes per annum",DISS-dffb4072-e396-47ae-e044-00144f67d031,Dossier
200-554-5,63-05-8,"androst-4-ene-3,17-dione",Full,Joint Submission,"100 - 1,000 tonnes per annum",DISS-9d853fc5-2cf5-133d-e044-00144f67d249,Dossier
200-573-9,64-02-8,tetrasodium ethylenediaminetetraacetate,Full,Joint Submission,"10,000 - 100,000 tonnes per annum",DISS-97dbf20f-b6ec-08f3-e044-00144f67d031,Dossier
200-578-6,64-17-5,ethanol,Full,Joint Submission,"10,000,000 - 100,000,000 tonnes per annum",DISS-9d8b4df8-d70a-6e6b-e044-00144f67d249,Dossier
200-579-1,64-18-6,formic acid,Full,Joint Submission,"100,000 - 1,000,000 tonnes per annum",DISS-9d82e8c5-65e9-3179-e044-00144f67d249,Dossier
200-580-7,64-19-7,acetic acid,Full,Joint Submission,"1,000,000 - 10,000,000 tonnes per annum",DISS-9d8c7866-b374-5d28-e044-00144f67d249,Dossier
200-589-6,64-67-5,diethyl sulphate,Intermediate,Individual Submission,Intermediate Use Only,DISS-9d87f893-5133-43ac-e044-00144f67d249,Dossier
200-589-6,64-67-5,diethyl sulphate,Intermediate,Joint Submission,Intermediate Use Only,DISS-9d889f4e-0f3e-4ac0-e044-00144f67d249,Dossier
200-592-2,64-73-3,demeclocycline hydrochloride,Intermediate,Joint Submission,Intermediate Use Only,DISS-e18edfe9-02e1-58ce-e044-00144f67d031,Dossier
200-598-5,64-86-8,colchicine,Intermediate,Individual Submission,Intermediate Use Only,DISS-9d831674-ca8e-542b-e044-00144f67d249,Dossier
200-609-3,65-45-2,salicylamide,Intermediate,Joint Submission,Intermediate Use Only,DISS-9d9b4472-7795-1ba7-e044-00144f67d249,Dossier
200-618-2,65-85-0,benzoic acid,Full,Joint Submission,"100,000 - 1,000,000 tonnes per annum",DISS-9d8b8ff8-7308-2921-e044-00144f67d249,Dossier
200-624-5,66-25-1,hexanal,Intermediate,Joint Submission,Intermediate Use Only,DISS-db9a9279-60bd-6717-e044-00144f67d031,Dossier
200-638-1,66-84-2,glucosamine hydrochloride,Intermediate,Joint Submission,Intermediate Use Only,DISS-e5a0779b-8b9f-00b9-e044-00144f67d031,Dossier
200-652-8,67-43-6,N-carboxymethyliminobis(ethylenenitrilo)tetra(acetic acid),Full,Joint Submission,"1,000 - 10,000 tonnes per annum",DISS-9d87df29-430d-321e-e044-00144f67d249,Dossier
200-652-8,67-43-6,N-carboxymethyliminobis(ethylenenitrilo)tetra(acetic acid),Intermediate,Individual Submission,Intermediate Use Only,DISS-d6b225d8-e2ba-1fcd-e044-00144f67d031,Dossier
200-655-4, ,choline chloride,Full,Individual Submission,Tonnage Data Confidential,DISS-d976cbfb-7bb9-1f46-e044-00144f67d031,Dossier
200-655-4,67-48-1,choline chloride,Full,Joint Submission,"1,000 - 10,000 tonnes per annum",DISS-dffb4072-e301-47ae-e044-00144f67d031,Dossier
200-657-5,67-51-6,"3,5-dimethylpyrazole",Full,Joint Submission,"100 - 1,000 tonnes per annum",DISS-dcd6ff96-469e-4aee-e044-00144f67d031,Dossier
200-658-0,67-52-7,barbituric acid,Intermediate,Individual Submission,Intermediate Use Only,DISS-b6b41508-4486-4611-e044-00144f67d031,Dossier
200-658-0,67-52-7,barbituric acid,Intermediate,Joint Submission,Intermediate Use Only,DISS-d019871e-a35b-374e-e044-00144f67d249,Dossier
200-658-0,67-52-7,barbituric acid,Intermediate,Individual Submission,Intermediate Use Only,DISS-e7627168-f76b-63fd-e044-00144f67d031,Dossier
200-659-6,"67-56-1,  ",methanol,Full,Joint Submission,"10,000,000 - 100,000,000 tonnes per annum",DISS-a13820c8-fbdb-6a5d-e044-00144f67d031,Dossier
200-659-6,67-56-1,methanol,Intermediate,Joint Submission,Intermediate Use Only,DISS-76fd72fa-19eb-4f3b-e044-00144f26965e,Dossier
200-661-7,67-63-0,propan-2-ol,Full,Joint Submission,"100,000 - 1,000,000 tonnes per annum",DISS-9d82bbf7-98d2-11d2-e044-00144f67d249,Dossier
200-662-2,67-64-1,acetone,Full,Joint Submission,"10,000 - 100,000 tonnes per annum",DISS-9d93c40d-8ae7-6966-e044-00144f67d249,Dossier
200-662-2,67-64-1,acetone,Full,Joint Submission,"1,000,000 - 10,000,000 tonnes per annum",DISS-9d998764-70a1-6fbe-e044-00144f67d249,Dossier
200-663-8,67-66-3,chloroform,Full,Joint Submission,"100,000 - 1,000,000 tonnes per annum",DISS-9d844bf7-ce5b-4ce8-e044-00144f67d249,Dossier
200-664-3,67-68-5,dimethyl sulfoxide,Full,Joint Submission,"1,000 - 10,000 tonnes per annum",DISS-828e0a4f-03e4-1d1a-e044-00144fd73934,Dossier
200-675-3,68-04-2,trisodium citrate,Full,Joint Submission,"10,000 - 100,000 tonnes per annum",DISS-9d83210a-6ed4-5a31-e044-00144f67d249,Dossier
200-677-4,68-11-1,mercaptoacetic acid,Full,Joint Submission,"10,000 - 100,000 tonnes per annum",DISS-9d81f749-09a7-66d6-e044-00144f67d249,Dossier
200-679-5,68-12-2,"N,N-dimethylformamide",Full,Joint Submission,"10,000 - 100,000 tonnes per annum",DISS-9d955330-d528-6c83-e044-00144f67d249,Dossier
200-679-5,68-12-2,"N,N-dimethylformamide",Intermediate,Individual Submission,Intermediate Use Only,DISS-b2c9613c-37ce-3f9d-e044-00144f67d031,Dossier
200-681-6,68-22-4,norethisterone,Intermediate,Joint Submission,Intermediate Use Only,DISS-9d912c07-461c-72a8-e044-00144f67d249,Dossier
200-683-7,68-26-8,retinol,Full,Joint Submission,1 - 10 tonnes per annum,DISS-9d98cb95-bb45-41a7-e044-00144f67d249,Dossier
200-709-7,69-53-4,ampicillin,Intermediate,Joint Submission,Intermediate Use Only,DISS-e1a0ab01-db91-2fde-e044-00144f67d031,Dossier
200-712-3,69-72-7,salicylic acid,Full,Joint Submission,"10,000 - 100,000 tonnes per annum",DISS-9d978748-75d0-18b8-e044-00144f67d249,Dossier
200-739-0,70-53-1,DL-lysine monohydrochloride,Intermediate,Individual Submission,Intermediate Use Only,DISS-9e9c1691-53e3-0b3c-e044-00144f67d031,Dossier
200-740-6,70-54-2,DL-lysine,Intermediate,Joint Submission,Intermediate Use Only,DISS-e18edfe9-02f5-58ce-e044-00144f67d031,Dossier
200-740-6,70-54-2,DL-lysine,Intermediate,Individual Submission,Intermediate Use Only,DISS-e7627168-f882-63fd-e044-00144f67d031,Dossier
200-741-1,70-55-3,toluene-4-sulphonamide,Full,Joint Submission,"100 - 1,000 tonnes per annum",DISS-dbbe031a-6232-404d-e044-00144f67d031,Dossier
200-741-1,70-55-3,toluene-4-sulphonamide,Intermediate,Individual Submission,Intermediate Use Only,DISS-e7627168-f76d-63fd-e044-00144f67d031,Dossier
200-746-9,71-23-8,propan-1-ol,Full,Joint Submission,"10,000 - 100,000 tonnes per annum",DISS-9d9caf30-12fa-6dc6-e044-00144f67d249,Dossier
200-749-5,71-30-7,cytosine,Intermediate,Individual Submission,Intermediate Use Only,DISS-d019209c-112e-60c0-e044-00144f67d249,Dossier
200-751-6,71-36-3,butan-1-ol,Full,Joint Submission,"100,000 - 1,000,000 tonnes per annum",DISS-9d977f80-9d42-105d-e044-00144f67d249,Dossier
200-752-1,71-41-0,pentan-1-ol,Full,Joint Submission,100 + tonnes per annum,DISS-9d8a5727-6a82-2e4a-e044-00144f67d249,Dossier
200-753-7,71-43-2,benzene,Full,Joint Submission,"1,000 - 10,000 tonnes per annum",DISS-9d849b01-e16c-103a-e044-00144f67d249,Dossier
200-753-7,71-43-2,benzene,Full,Joint Submission,"1,000,000 - 10,000,000 tonnes per annum",DISS-9d862eda-63cd-4c78-e044-00144f67d249,Dossier
200-753-7,71-43-2,benzene,Intermediate,Individual Submission,Intermediate Use Only,DISS-9d87dd40-7256-312e-e044-00144f67d249,Dossier
200-755-8,71-48-7,cobalt di(acetate),Full,Joint Submission,"1,000 - 10,000 tonnes per annum",DISS-9c80a126-81c3-3a7e-e044-00144f67d249,Dossier
200-755-8,71-48-7,cobalt di(acetate),Intermediate,Individual Submission,Intermediate Use Only,DISS-a133cfce-fad6-1841-e044-00144f67d031,Dossier
200-756-3,71-55-6,"1,1,1-trichloroethane",Intermediate,Joint Submission,Intermediate Use Only,DISS-a135533f-474a-60f5-e044-00144f67d031,Dossier
200-772-0,72-17-3,sodium lactate,Full,Joint Submission,"100 - 1,000 tonnes per annum",DISS-dcd6f8da-a5c7-4638-e044-00144f67d031,Dossier
200-773-6,72-18-4,L-valine,Full,Joint Submission,"100 - 1,000 tonnes per annum",DISS-db9bddba-e99a-1493-e044-00144f67d031,Dossier
200-773-6,72-18-4,L-valine,Intermediate,Individual Submission,Intermediate Use Only,DISS-c2eb0f03-0e8e-6cde-e044-00144f67d031,Dossier
200-811-1,74-79-3,arginine,Full,Joint Submission,"100 - 1,000 tonnes per annum",DISS-db9abc68-4cf9-0469-e044-00144f67d031,Dossier
200-812-7,74-82-8,methane,Full,Joint Submission,"100,000 - 1,000,000 tonnes per annum",DISS-9d9b561f-f04b-2aee-e044-00144f67d249,Dossier
200-813-2,74-83-9,bromomethane,Intermediate,Joint Submission,Intermediate Use Only,DISS-c4c45f18-122a-05dc-e044-00144f67d031,Dossier
200-814-8,74-84-0,ethane,Full,Joint Submission,"1,000,000 - 10,000,000 tonnes per annum",DISS-9d832a4f-1f88-6297-e044-00144f67d249,Dossier
200-815-3,74-85-1,ethylene,Full,Joint Submission,"10,000,000 + tonnes per annum",DISS-9d9a2ef5-aeb9-15e5-e044-00144f67d249,Dossier
200-815-3,74-85-1,ethylene,Full,Joint Submission,"1,000 - 10,000 tonnes per annum",DISS-abd4117e-5bab-1353-e044-00144f67d249,Dossier
200-816-9,74-86-2,acetylene,Full,Joint Submission,"100,000 - 1,000,000 tonnes per annum",DISS-9d972780-90b1-3838-e044-00144f67d249,Dossier
200-817-4,74-87-3,chloromethane,Full,Joint Submission,"1,000,000 - 10,000,000 tonnes per annum",DISS-9d9e9cbb-f4ad-4180-e044-00144f67d249,Dossier
200-817-4,74-87-3,chloromethane,Intermediate,Individual Submission,Intermediate Use Only,DISS-9d9aa142-b3e8-03c7-e044-00144f67d249,Dossier
200-817-4,74-87-3,chloromethane,Intermediate,Individual Submission,Intermediate Use Only,DISS-9d9aa769-896b-0b13-e044-00144f67d249,Dossier
200-817-4,74-87-3,chloromethane,Intermediate,Individual Submission,Intermediate Use Only,DISS-9d9aaca4-a551-0eb6-e044-00144f67d249,Dossier
200-817-4,74-87-3,chloromethane,Intermediate,Individual Submission,Intermediate Use Only,DISS-9d9c1aed-171f-61e4-e044-00144f67d249,Dossier
200-817-4,74-87-3,chloromethane,Intermediate,Individual Submission,Intermediate Use Only,DISS-d38cedc5-c8e1-4912-e044-00144f67d249,Dossier
200-819-5,74-88-4,iodomethane,Full,Joint Submission,"100 - 1,000 tonnes per annum",DISS-9d98193f-bf66-2050-e044-00144f67d249,Dossier
200-820-0,74-89-5,methylamine,Full,Joint Submission,"10,000 + tonnes per annum",DISS-97d9a964-09ab-0cd1-e044-00144f67d031,Dossier
200-821-6,74-90-8,hydrogen cyanide,Intermediate,Joint Submission,Intermediate Use Only,DISS-9d890bc4-2057-25d4-e044-00144f67d249,Dossier
200-822-1,74-93-1,methanethiol,Intermediate,Joint Submission,Intermediate Use Only,DISS-a135051d-b83b-39fe-e044-00144f67d031,Dossier
200-824-2,74-95-3,dibromomethane,Intermediate,Joint Submission,Intermediate Use Only,DISS-9d8aa8b9-e497-694f-e044-00144f67d249,Dossier
200-825-8,74-96-4,bromoethane,Intermediate,Joint Submission,Intermediate Use Only,DISS-db9bcce3-36dc-0c7f-e044-00144f67d031,Dossier
200-826-3,74-97-5,bromochloromethane,Intermediate,Joint Submission,Intermediate Use Only,DISS-c2eb3217-bba5-073a-e044-00144f67d031,Dossier
200-827-9,74-98-6,propane,Full,Joint Submission,"1,000,000 - 10,000,000 tonnes per annum",DISS-9d84d97c-f3b4-3daf-e044-00144f67d249,Dossier
200-830-5,75-00-3,chloroethane,Full,Joint Submission,"1,000 - 10,000 tonnes per annum",DISS-9d98c03d-e54b-3a92-e044-00144f67d249,Dossier
200-830-5,75-00-3,chloroethane,Intermediate,Individual Submission,Intermediate Use Only,DISS-b2c95eb4-2e87-3f24-e044-00144f67d031,Dossier
200-831-0,75-01-4,chloroethylene,Full,Individual Submission,1 - 10 tonnes per annum,DISS-9d93c19a-cdf6-6454-e044-00144f67d249,Dossier
200-831-0,75-01-4,chloroethylene,Full,Individual Submission,1 - 10 tonnes per annum,DISS-9d94694c-0454-0cf7-e044-00144f67d249,Dossier
200-831-0,75-01-4,chloroethylene,Full,Joint Submission,"1,000,000 - 10,000,000 tonnes per annum",DISS-9d9f2f28-9ebf-4a9f-e044-00144f67d249,Dossier
200-832-6,75-02-5,fluoroethylene,Full,Joint Submission,Tonnage Data Confidential,DISS-9d83d791-70c0-6aa7-e044-00144f67d249,Dossier
200-834-7,75-04-7,ethylamine,Full,Joint Submission,100 + tonnes per annum,DISS-9d9b94b8-c880-6322-e044-00144f67d249,Dossier
200-835-2,75-05-8,acetonitrile,Full,Joint Submission,"10,000 - 100,000 tonnes per annum",DISS-9d9c766f-c172-3de1-e044-00144f67d249,Dossier
200-836-8,75-07-0,acetaldehyde,Full,Joint Submission,10 - 100 tonnes per annum,DISS-c4c00b19-001e-52a5-e044-00144f67d031,Dossier
200-836-8,75-07-0,acetaldehyde,Intermediate,Joint Submission,Intermediate Use Only,DISS-9d8b15ea-8234-443b-e044-00144f67d249,Dossier
200-837-3,75-08-1,ethanethiol,Full,Joint Submission,"1,000 - 10,000 tonnes per annum",DISS-9d958f0c-e4fc-3036-e044-00144f67d249,Dossier
200-838-9,75-09-2,dichloromethane,Full,Individual Submission,1 - 10 tonnes per annum,DISS-9d8920ec-2ab3-344a-e044-00144f67d249,Dossier
200-838-9,75-09-2,dichloromethane,Full,Joint Submission,"1,000 - 10,000 tonnes per annum",DISS-9d894ed9-ebbe-545c-e044-00144f67d249,Dossier
200-838-9,75-09-2,dichloromethane,Full,Joint Submission,"100,000 - 1,000,000 tonnes per annum",DISS-9d8c3b63-3ba5-31d6-e044-00144f67d249,Dossier
200-839-4,75-10-5,difluoromethane,Full,Joint Submission,"10,000 - 100,000 tonnes per annum",DISS-9d95a5b7-9b33-4267-e044-00144f67d249,Dossier
200-842-0,"75-12-7,  ",formamide,Full,Joint Submission,10 - 100 tonnes per annum,DISS-9d9fb4ab-0d75-4a45-e044-00144f67d249,Dossier
200-842-0,75-12-7,formamide,Intermediate,Individual Submission,Intermediate Use Only,DISS-a21166a8-6c19-17d0-e044-00144f67d031,Dossier
200-842-0,75-12-7,formamide,Intermediate,Individual Submission,Intermediate Use Only,DISS-abdbe543-aee7-2fe2-e044-00144f67d249,Dossier
200-843-6,75-15-0,carbon disulphide,Full,Joint Submission,"100,000 - 1,000,000 tonnes per annum",DISS-9d970e77-aacc-2435-e044-00144f67d249,Dossier
