EC / List No.,CAS No.,Name,Registration Type,Submission Type,Total Tonnage Band,Dossier ID,Link
233-058-2,10026-11-6,zirconium tetrachloride,Full,Joint Submission,"1,000 - 10,000 tonnes per annum",DISS-9ea69fc6-72b9-48d6-e044-00144f67d031,Dossier
233-060-3,10026-13-8,phosphorus pentachloride,Intermediate,Joint Submission,Intermediate Use Only,DISS-a1336e4f-2736-5e26-e044-00144f67d031,Dossier
233-071-3,10028-18-9,nickel difluoride,Full,Joint Submission,"100 - 1,000 tonnes per annum",DISS-97ddc3a5-a5fe-61f8-e044-00144f67d031,Dossier
233-072-9,10028-22-5,diiron tris(sulphate),Full,Joint Submission,"100,000 - 1,000,000 tonnes per annum",DISS-9ea5a7b8-2f22-37f1-e044-00144f67d031,Dossier
233-113-0,10035-10-6,hydrogen bromide,Full,Joint Submission,"10,000 - 100,000 tonnes per annum",DISS-9e9c36b0-8805-1af2-e044-00144f67d031,Dossier
233-113-0, ,hydrogen bromide,Intermediate,Individual Submission,Intermediate Use Only,DISS-d976da3c-4b6b-26b5-e044-00144f67d031,Dossier
233-116-7,10038-98-9,germanium tetrachloride,Intermediate,Joint Submission,Intermediate Use Only,DISS-dffb4072-e2c8-47ae-e044-00144f67d031,Dossier
233-118-8,10039-54-0,bis(hydroxylammonium) sulphate,Full,Joint Submission,"100,000 - 1,000,000 tonnes per annum",DISS-9eb7c66f-9951-6173-e044-00144f67d031,Dossier
233-126-1,10042-59-8,2-propylheptan-1-ol,Full,Joint Submission,"10,000 + tonnes per annum",DISS-9ec1bcf8-8d6f-34cc-e044-00144f67d031,Dossier
233-131-9,10042-76-9,strontium nitrate,Full,Joint Submission,"1,000 - 10,000 tonnes per annum",DISS-9d893ae9-fc1c-4667-e044-00144f67d249,Dossier
233-135-0,10043-01-3,aluminium sulphate,Full,Individual Submission,"1,000 - 10,000 tonnes per annum",DISS-9ea70a25-c369-0c91-e044-00144f67d031,Dossier
233-135-0,10043-01-3,aluminium sulphate,Full,Joint Submission,"100,000 - 1,000,000 tonnes per annum",DISS-9ea8bbca-ece5-0bb2-e044-00144f67d031,Dossier
233-135-0,10043-01-3,aluminium sulphate,Full,Individual Submission,"100 - 1,000 tonnes per annum",DISS-e7627168-f842-63fd-e044-00144f67d031,Dossier
233-136-6,10043-11-5,boron nitride,Full,Joint Submission,10 - 100 tonnes per annum,DISS-abdb7874-50cd-6374-e044-00144f67d249,Dossier
233-136-6,10043-11-5,boron nitride,Full,Joint Submission,"100 - 1,000 tonnes per annum",DISS-d6a4348c-30e6-1aa1-e044-00144f67d031,Dossier
233-139-2,10043-35-3,boric acid,Full,Joint Submission,"100,000 - 1,000,000 tonnes per annum",DISS-9c85f941-5dd4-6d9c-e044-00144f67d249,Dossier
233-140-8,"10043-52-4, 22691-02-7",calcium chloride,Full,Joint Submission,"100,000 - 1,000,000 tonnes per annum",DISS-9eb43f6f-23a1-5205-e044-00144f67d031,Dossier
233-140-8,10043-52-4,calcium chloride,Full,Individual Submission,"100 - 1,000 tonnes per annum",DISS-e7627168-f7ad-63fd-e044-00144f67d031,Dossier
233-141-3,10043-67-1,aluminium potassium bis(sulphate),Full,Joint Submission,"100 - 1,000 tonnes per annum",DISS-d9773dd9-ed78-5621-e044-00144f67d031,Dossier
233-149-7,10045-86-0,iron orthophosphate,Full,Joint Submission,"100 - 1,000 tonnes per annum",DISS-ba7d9760-4ed0-0106-e044-00144f67d031,Dossier
233-153-9,10045-95-1,neodymium trinitrate,Intermediate,Joint Submission,Intermediate Use Only,DISS-dffb4072-e3a4-47ae-e044-00144f67d031,Dossier
233-162-8,10049-04-4,chlorine dioxide,Full,Joint Submission,"10,000,000 + tonnes per annum",DISS-9eb76a1e-1158-301f-e044-00144f67d031,Dossier
233-190-0,10058-44-3,tetrairon tris(pyrophosphate),Full,Joint Submission,"100 - 1,000 tonnes per annum",DISS-dcedd89c-1ef3-4423-e044-00144f67d031,Dossier
233-195-8,10061-01-5,"(Z)-1,3-dichloropropene",Intermediate,Joint Submission,Intermediate Use Only,DISS-9eae7a86-b40d-66f8-e044-00144f67d031,Dossier
233-215-5,10081-67-1,4-(1-methyl-1-phenylethyl)-N-[4-(1-methyl-1-phenylethyl)phenyl]aniline,Full,Joint Submission,"100 - 1,000 tonnes per annum",DISS-dceddce1-1857-453b-e044-00144f67d031,Dossier
